Age,AnnualIncome,LoanAmount,CreditScore,EmploymentType,YearsOfExperience,ExistingLoans,MaritalStatus,DefaultProbability,Default
56,118039,60389,714,Salaried,13,1,Divorced,28.051010031474036,0
69,156738,36025,646,Salaried,19,0,Single,40.53083121923124,0
46,2431,2263,641,Unemployed,12,0,Married,93.71674927028448,1
32,68678,28735,649,Salaried,10,0,Single,57.160980452131724,1
21,12495,3340,563,Student,0,1,Married,100.0,1
25,40269,18244,529,Salaried,2,4,Divorced,100.0,1
38,82947,43468,602,Salaried,12,3,Single,70.24975168403475,1
56,66487,67582,579,Salaried,1,2,Single,91.86777808562242,1
36,82000,74380,509,Salaried,8,4,Married,100.0,1
40,70700,26173,609,Self-Employed,12,0,Single,42.87250296431705,0
28,46,7798,534,Unemployed,7,1,Married,100.0,1
28,75978,73126,560,Salaried,7,1,Divorced,82.30700536015377,1
41,51939,10054,526,Salaried,2,2,Married,53.58065437031024,0
53,79279,93775,576,Self-Employed,3,3,Single,100.0,1
57,41943,10869,551,Self-Employed,1,4,Married,100.0,1
41,110909,98662,578,Salaried,19,4,Married,99.48101465281809,1
20,39606,25960,484,Salaried,0,4,Single,100.0,1
39,78695,29396,605,Self-Employed,14,3,Married,59.72815349409931,1
19,21097,2850,571,Self-Employed,0,3,Married,89.92594236448797,1
41,84941,32226,592,Salaried,16,3,Married,89.28567192054103,1
61,147568,20165,735,Salaried,31,2,Single,0.0,0
47,3619,7062,565,Unemployed,9,1,Married,100.0,1
55,50733,7578,622,Self-Employed,0,0,Single,61.38783665947639,1
19,12000,6464,475,Salaried,0,3,Single,100.0,1
38,50336,20551,574,Salaried,5,1,Divorced,100.0,1
50,67797,49832,585,Self-Employed,2,3,Married,100.0,1
29,51798,21816,615,Salaried,2,0,Single,61.959877221787096,1
39,82304,79955,612,Salaried,6,3,Single,94.95809414591128,1
61,102343,40061,673,Salaried,12,1,Single,11.906793637794804,0
42,95192,2958,634,Salaried,16,2,Single,24.19743380966613,0
66,85526,58284,650,Self-Employed,0,0,Single,67.2768637032967,1
44,101164,56324,665,Salaried,13,1,Single,51.43977974193,0
59,163769,72232,618,Self-Employed,28,4,Married,63.25095299760147,1
45,146244,94335,583,Salaried,25,4,Married,88.03346944097788,1
33,34846,10529,494,Salaried,2,4,Married,96.60113855603967,1
32,60339,15978,655,Salaried,7,2,Married,58.069173796985865,1
18,14209,7271,440,Student,0,3,Single,100.0,1
25,6444,3882,529,Student,0,3,Divorced,100.0,1
61,80118,28400,615,Salaried,9,3,Married,40.54843385099473,0
69,98249,93227,604,Self-Employed,12,2,Married,81.4088028863632,1
20,12000,10540,476,Self-Employed,0,4,Married,100.0,1
54,3657,8051,396,Unemployed,8,3,Divorced,100.0,1
68,130325,36054,760,Salaried,13,2,Married,4.965842568382757,0
24,46668,31557,550,Self-Employed,3,2,Single,100.0,1
38,63470,20764,673,Salaried,9,1,Married,22.69414285608131,0
26,59594,7684,613,Salaried,6,3,Married,61.4952065895831,1
56,3670,8105,453,Unemployed,34,4,Married,100.0,1
35,78754,16134,654,Salaried,6,0,Married,58.329631891908946,1
21,12000,12176,550,Salaried,0,2,Single,100.0,1
42,57714,29396,711,Salaried,6,1,Single,54.22448697897616,0
31,45685,45818,618,Self-Employed,9,0,Divorced,64.08839350468634,1
67,194594,144608,717,Self-Employed,34,2,Married,43.75098688966686,0
